name,rank,artist,year,id,length,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo
Temperature,2,['Sean Paul'],2006,0k2GOhqsrxDTAbFFSdNJjT,218.573,0.951,0.6,0,-4.675,0.0685,0.106,0.0712,0.822,125.04
Promiscuous,3,"['Nelly Furtado', 'Timbaland']",2006,2gam98EZKrF9XuOkU13ApN,242.293,0.808,0.97,10,-6.098,0.0506,0.0569,0.154,0.868,114.328
You're Beautiful,4,['James Blunt'],2006,7j6C8ITuzhA7GHmj2z9mSd,177.065,0.66,0.183,3,-15.238,0.068,0.994,0.119,0.218,78.936
Hips Don't Lie,5,"['Shakira', 'Wyclef Jean']",2006,3ZFTkvIE7kyPt6Nu3PEa7V,218.093,0.778,0.824,10,-5.892,0.0712,0.284,0.405,0.756,100.024
Unwritten,6,['Natasha Bedingfield'],2006,3U5JVgI2x4rDyHGObzJfNf,259.333,0.706,0.8,5,-6.333,0.0399,0.00584,0.0822,0.629,100.011
Crazy,7,['Gnarls Barkley'],2006,2N5zMZX7YeL1tico8oQxa9,182.066,0.835,0.741,8,-1.609,0.0339,0.0172,0.0826,0.612,111.963
Ridin',8,"['Chamillionaire', 'Krayzie Bone']",2006,3kZoay4ANo86ehb6s4RwS9,303.053,0.787,0.799,8,-4.68,0.0993,0.189,0.3,0.835,143.052
SexyBack,9,['Justin Timberlake'],2006,0O45fw2L5vsWpdsOdXwNAR,242.733,0.967,0.583,7,-5.562,0.0789,0.0584,0.0519,0.964,117
Check On It,10,"['Beyonce', 'Slim Thug']",2006,2RWxrpsFshOBFwRBRstUlQ,210.453,0.705,0.796,7,-6.845,0.267,0.0708,0.388,0.864,166.042
Be Without You,11,['Mary J. Blige'],2006,2YegxR5As7BeQuVp2U6pek,246.333,0.724,0.705,2,-5.859,0.112,0.067,0.262,0.662,146.589
Grillz,12,"['Nelly', 'Paul Wall', 'Ali', 'Gipp']",2006,0Aqlt4N5h6rUtKnd09VXpr,271.16,0.863,0.514,4,-7.243,0.249,0.0419,0.301,0.843,82.985
Over My Head (Cable Car),13,['The Fray'],2006,1N62wozuHCvczCkY4QidpP,236.266,0.592,0.729,8,-4.156,0.0448,0.022,0.0653,0.709,116.03
Me & U,14,['Cassie'],2006,7k6IzwMGpxnRghE7YosnXT,192.213,0.803,0.454,8,-4.802,0.0294,0.352,0.0655,0.739,99.99
